                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5445,                 2.5826,                 1.3586,                0.00475,                0.98276,                0.53611,                0.28836,                 1.2288,                 3.1753,                 1.1149,                 0.0002,                 0.0002,                 0.0002
                      2,                 1.4306,                 1.6838,                 1.2502,                0.82807,                0.67241,                0.68843,                0.35806,                 1.2372,                  2.909,                 1.0919,             0.00041917,             0.00041917,             0.00041917
                      3,                 1.4009,                 1.7101,                 1.2866,                      1,                0.23805,                0.63098,                0.29261,                 1.2918,                 3.0675,                 1.2325,             0.00063747,             0.00063747,             0.00063747
                      4,                  1.437,                 1.5469,                 1.2962,                0.77083,                0.23222,                0.42696,                0.21224,                 1.4717,                 3.0353,                 1.4423,             0.00085489,             0.00085489,             0.00085489
                      5,                 1.5625,                 1.6401,                 1.3549,                0.49031,                0.32759,                0.30085,                0.11618,                 1.5823,                 2.9373,                 1.5209,              0.0010714,              0.0010714,              0.0010714
                      6,                 1.5095,                 1.5889,                 1.3826,                0.50896,                0.27586,                 0.2317,                 0.0711,                 1.6828,                 3.2109,                 1.7095,              0.0012871,              0.0012871,              0.0012871
                      7,                 1.4506,                 1.4989,                  1.349,                0.51574,                0.27586,                0.23244,                0.07937,                 1.6835,                 3.6239,                 1.7133,              0.0015019,              0.0015019,              0.0015019
                      8,                 1.5407,                 1.5951,                 1.4168,                0.48134,                 0.2069,                0.19874,                0.09721,                 1.9149,                 3.6392,                 1.9223,              0.0017159,              0.0017159,              0.0017159
                      9,                 1.5849,                 1.6709,                 1.4109,                0.40342,                0.43103,                0.38284,                0.15765,                 1.9446,                 2.4941,                 1.6407,               0.001929,               0.001929,               0.001929
                     10,                 1.5208,                 1.5362,                  1.414,                 0.4161,                0.55292,                0.47528,                 0.1918,                 1.7155,                 2.8124,                 1.5065,              0.0019644,              0.0019644,              0.0019644
                     11,                 1.6206,                 1.6025,                 1.4607,                0.18161,                 0.2069,                0.07333,                0.01972,                 2.3116,                 4.0385,                 2.6209,              0.0019644,              0.0019644,              0.0019644
                     12,                 1.5586,                 1.4416,                 1.3873,                0.47565,                0.46925,                0.47793,                0.17027,                 2.2794,                 2.5605,                 2.0405,              0.0019604,              0.0019604,              0.0019604
                     13,                 1.4986,                 1.3339,                 1.3527,                0.63629,                0.34483,                0.39141,                0.16305,                 2.1594,                  3.411,                 1.9517,              0.0019564,              0.0019564,              0.0019564
                     14,                 1.5182,                 1.4009,                   1.37,                0.48683,                0.41379,                0.42573,                0.17419,                  2.064,                 2.9293,                 1.7873,              0.0019525,              0.0019525,              0.0019525
                     15,                 1.5136,                 1.3045,                 1.3575,                0.69446,                0.41379,                0.53765,                0.23154,                 1.8915,                 2.1665,                 1.7201,              0.0019485,              0.0019485,              0.0019485
                     16,                 1.4733,                 1.3054,                 1.3815,                0.57843,                0.56778,                0.52251,                0.23619,                 1.8276,                 2.2217,                  1.723,              0.0019446,              0.0019446,              0.0019446
                     17,                 1.4834,                 1.3089,                 1.3581,                0.69358,                0.58621,                0.58372,                0.27366,                 1.7811,                 2.4284,                 1.6572,              0.0019406,              0.0019406,              0.0019406
                     18,                 1.6025,                 1.3874,                 1.4446,                0.85535,                0.68966,                0.78774,                0.32982,                 1.8157,                 1.8258,                 1.7219,              0.0019366,              0.0019366,              0.0019366
                     19,                 1.5249,                 1.3362,                 1.3683,                0.58745,                0.51724,                0.52936,                0.21283,                 1.9322,                 2.2037,                 1.7407,              0.0019327,              0.0019327,              0.0019327
                     20,                 1.5808,                 1.3344,                 1.4383,                0.70114,                0.63793,                0.66696,                0.30502,                 1.7651,                 1.6145,                 1.6697,              0.0019287,              0.0019287,              0.0019287
                     21,                 1.5196,                 1.2693,                 1.3758,                0.88213,                0.67241,                0.79847,                0.39093,                 1.6192,                 1.4493,                 1.4899,              0.0019248,              0.0019248,              0.0019248
                     22,                 1.4649,                 1.2113,                 1.3618,                0.68514,                0.68966,                0.75622,                0.27572,                 2.0402,                 1.7764,                 1.7696,              0.0019208,              0.0019208,              0.0019208
                     23,                 1.4948,                 1.2099,                  1.367,                0.61561,                    0.5,                0.50117,                0.16348,                 2.3411,                 2.3047,                 2.1137,              0.0019168,              0.0019168,              0.0019168
                     24,                 1.4501,                 1.2047,                 1.3664,                0.72061,                  0.756,                0.76271,                0.35082,                 1.7317,                 1.5412,                 1.5927,              0.0019129,              0.0019129,              0.0019129
                     25,                 1.4279,                 1.1447,                 1.3387,                0.79114,                0.72414,                0.78451,                0.35901,                 1.6757,                 1.4296,                 1.5374,              0.0019089,              0.0019089,              0.0019089
                     26,                 1.5092,                 1.1792,                 1.3638,                0.75738,                 0.7069,                0.74594,                0.31597,                 1.8047,                 1.5113,                 1.5791,               0.001905,               0.001905,               0.001905
                     27,                 1.3511,                 1.0511,                 1.2682,                0.81496,                0.72414,                0.80621,                0.37493,                 1.6089,                 1.4906,                 1.4819,               0.001901,               0.001901,               0.001901
                     28,                 1.3566,                 1.0312,                  1.261,                0.83315,                0.68874,                0.76647,                0.34483,                  1.846,                 1.4715,                 1.6499,               0.001897,               0.001897,               0.001897
                     29,                 1.4107,                 1.0598,                 1.3053,                0.89127,                0.70663,                0.79356,                0.40787,                 1.5381,                 1.4098,                 1.4403,              0.0018931,              0.0018931,              0.0018931
                     30,                 1.4194,                 1.0924,                 1.3115,                0.77568,                0.59627,                0.66339,                0.32082,                  1.798,                  1.529,                 1.6685,              0.0018891,              0.0018891,              0.0018891
                     31,                 1.4677,                 1.1578,                 1.3455,                0.59483,                 0.5316,                0.57041,                0.26725,                 1.8807,                 1.6767,                 1.6896,              0.0018852,              0.0018852,              0.0018852
                     32,                 1.3768,                  1.062,                 1.2927,                0.77365,                0.68966,                0.74515,                0.40435,                 1.5212,                 1.2596,                 1.4301,              0.0018812,              0.0018812,              0.0018812
                     33,                 1.4206,                 1.0695,                 1.3432,                0.75224,                0.72414,                0.75307,                0.34456,                 1.6032,                 1.4471,                  1.463,              0.0018772,              0.0018772,              0.0018772
                     34,                 1.4034,                 1.0659,                 1.3233,                0.77142,                0.62069,                0.72348,                 0.3077,                 1.8655,                 1.3935,                 1.7598,              0.0018733,              0.0018733,              0.0018733
                     35,                 1.3935,                 1.0512,                 1.3358,                0.73675,                0.67558,                0.74464,                0.37249,                 1.6439,                 1.3865,                 1.5047,              0.0018693,              0.0018693,              0.0018693
                     36,                 1.4014,                 1.0879,                 1.3487,                0.66094,                0.56897,                0.58117,                0.31048,                 1.7755,                 1.6614,                 1.5631,              0.0018654,              0.0018654,              0.0018654
                     37,                  1.357,                0.99798,                 1.2884,                0.62369,                0.63793,                0.60121,                 0.2879,                 1.8661,                 1.5866,                 1.6091,              0.0018614,              0.0018614,              0.0018614
                     38,                 1.3439,                 0.9822,                  1.274,                0.75804,                0.70226,                0.74427,                 0.3496,                 1.6139,                 1.2037,                 1.4955,              0.0018574,              0.0018574,              0.0018574
                     39,                 1.2741,                0.95999,                 1.2427,                0.68974,                0.76666,                0.77584,                0.35884,                 1.7564,                 1.2122,                 1.5284,              0.0018535,              0.0018535,              0.0018535
                     40,                 1.3488,                0.98511,                 1.2633,                0.93024,                 0.7069,                0.81452,                0.45337,                 1.4831,                 1.1893,                 1.3929,              0.0018495,              0.0018495,              0.0018495
                     41,                 1.2784,                0.92571,                 1.2365,                0.79152,                0.63793,                0.75061,                0.40116,                 1.5777,                 1.3146,                 1.4576,              0.0018456,              0.0018456,              0.0018456
                     42,                 1.3234,                 1.0201,                 1.2876,                0.78371,                 0.6248,                0.71327,                0.41307,                 1.5282,                 1.4846,                 1.4888,              0.0018416,              0.0018416,              0.0018416
                     43,                 1.2205,                0.91848,                 1.2304,                0.64094,                0.64638,                0.67209,                0.33896,                 1.5335,                 1.5742,                 1.5174,              0.0018376,              0.0018376,              0.0018376
                     44,                 1.2833,                0.94911,                 1.2659,                0.84989,                0.78099,                 0.8119,                0.38667,                 1.5835,                 1.1119,                 1.4794,              0.0018337,              0.0018337,              0.0018337
                     45,                 1.2966,                0.89955,                 1.2629,                0.78429,                0.77586,                0.79998,                0.38275,                 1.7044,                 1.1019,                 1.5563,              0.0018297,              0.0018297,              0.0018297
                     46,                 1.3456,                0.95214,                 1.2868,                0.91163,                0.74138,                0.84706,                0.46414,                 1.5058,                 1.1779,                  1.421,              0.0018258,              0.0018258,              0.0018258
                     47,                 1.2693,                0.92955,                 1.2271,                0.90695,                0.74138,                0.85855,                0.42754,                 1.5065,                 1.1467,                 1.4093,              0.0018218,              0.0018218,              0.0018218
                     48,                 1.2833,                0.92066,                 1.2432,                0.82119,                0.75862,                0.82308,                0.38459,                 1.6765,                  1.138,                 1.5436,              0.0018178,              0.0018178,              0.0018178
                     49,                 1.2813,                0.85921,                   1.24,                0.86942,                 0.7931,                 0.8659,                0.45749,                 1.5048,                 1.0892,                 1.3921,              0.0018139,              0.0018139,              0.0018139
                     50,                 1.2832,                 0.8761,                  1.268,                0.76888,                0.74571,                0.81604,                0.43703,                 1.5604,                 1.0836,                 1.4189,              0.0018099,              0.0018099,              0.0018099
                     51,                 1.3254,                 0.9071,                  1.272,                0.84257,                0.72414,                0.81642,                0.43384,                 1.5914,                 1.1052,                 1.4392,               0.001806,               0.001806,               0.001806
                     52,                 1.2584,                0.85627,                 1.2231,                0.88581,                0.81034,                0.86479,                0.45778,                 1.4842,                0.91701,                 1.4457,               0.001802,               0.001802,               0.001802
                     53,                 1.2529,                0.86688,                 1.2366,                0.90689,                0.83973,                0.87626,                0.43549,                 1.5493,                0.95392,                 1.4957,               0.001798,               0.001798,               0.001798
                     54,                 1.2831,                0.89582,                 1.2728,                0.78808,                0.82759,                0.80217,                0.41378,                 1.6152,                  1.027,                  1.523,              0.0017941,              0.0017941,              0.0017941
                     55,                  1.253,                0.87423,                 1.2331,                0.76727,                0.82759,                0.80333,                0.34948,                 1.6708,                  1.038,                 1.5755,              0.0017901,              0.0017901,              0.0017901
                     56,                 1.2752,                0.87624,                 1.2646,                 0.9594,                0.75862,                0.86171,                0.42007,                 1.5825,                 1.0385,                 1.4599,              0.0017862,              0.0017862,              0.0017862
                     57,                 1.2325,                0.85575,                  1.211,                0.80889,                0.81034,                0.82852,                0.39987,                 1.6199,                  1.065,                 1.4901,              0.0017822,              0.0017822,              0.0017822
                     58,                 1.2429,                0.87795,                 1.2181,                0.86345,                0.75862,                0.80349,                0.39228,                 1.5334,                 1.1368,                 1.4736,              0.0017782,              0.0017782,              0.0017782
                     59,                 1.2489,                0.83701,                  1.238,                0.91475,                0.74008,                0.79566,                0.36255,                 1.7656,                  1.113,                 1.6461,              0.0017743,              0.0017743,              0.0017743
                     60,                 1.2457,                0.86007,                 1.2159,                0.85293,                0.70002,                0.79408,                0.40522,                 1.5708,                 1.2402,                 1.4566,              0.0017703,              0.0017703,              0.0017703
                     61,                 1.2078,                 0.8593,                 1.2409,                0.85807,                0.72414,                 0.7847,                0.39661,                 1.5956,                 1.1838,                 1.4374,              0.0017664,              0.0017664,              0.0017664
                     62,                 1.2516,                  0.849,                 1.2266,                0.86874,                0.60345,                0.70646,                0.36718,                 1.5678,                 1.4203,                 1.4503,              0.0017624,              0.0017624,              0.0017624
                     63,                 1.2422,                0.82343,                 1.2436,                0.87003,                0.68966,                0.79086,                 0.3894,                 1.5484,                 1.2202,                  1.468,              0.0017584,              0.0017584,              0.0017584
                     64,                 1.2252,                0.84665,                 1.2279,                0.81915,                0.75862,                0.81833,                 0.4055,                 1.6134,                0.99274,                 1.4549,              0.0017545,              0.0017545,              0.0017545
                     65,                 1.1804,                0.80195,                 1.1891,                0.82636,                0.77586,                0.79414,                0.40719,                  1.615,                0.96372,                 1.4544,              0.0017505,              0.0017505,              0.0017505
                     66,                  1.289,                0.83822,                 1.2516,                0.79286,                0.79195,                0.83397,                0.43659,                 1.4887,                0.96948,                 1.4491,              0.0017466,              0.0017466,              0.0017466
                     67,                 1.2521,                0.82638,                 1.2301,                0.77781,                0.81034,                  0.826,                 0.4086,                 1.5711,                0.97996,                 1.5029,              0.0017426,              0.0017426,              0.0017426
                     68,                 1.1574,                0.76877,                 1.1577,                0.79929,                 0.7069,                0.78366,                0.41694,                 1.6103,                 1.0336,                 1.5241,              0.0017386,              0.0017386,              0.0017386
                     69,                 1.1795,                0.80707,                 1.1862,                0.78614,                 0.7069,                0.76113,                0.36538,                  1.838,                 1.2105,                 1.7077,              0.0017347,              0.0017347,              0.0017347
                     70,                 1.1901,                0.80186,                 1.2197,                0.78907,                0.72414,                0.76087,                0.34306,                  1.866,                 1.2953,                 1.7406,              0.0017307,              0.0017307,              0.0017307
                     71,                 1.1815,                0.80881,                 1.1988,                0.84879,                0.75862,                0.84184,                0.43299,                 1.6503,                 1.0155,                 1.5097,              0.0017268,              0.0017268,              0.0017268
                     72,                 1.1719,                  0.755,                 1.1713,                0.93501,                 0.7931,                0.87145,                0.41079,                 1.6413,                0.93991,                 1.5358,              0.0017228,              0.0017228,              0.0017228
                     73,                 1.2271,                0.79322,                 1.2289,                0.89273,                0.86093,                0.86503,                0.38866,                 1.7367,                0.95214,                 1.5709,              0.0017188,              0.0017188,              0.0017188
                     74,                 1.1907,                0.79067,                 1.1976,                0.91963,                0.81034,                0.88009,                0.41273,                 1.7189,                 1.0558,                 1.5618,              0.0017149,              0.0017149,              0.0017149
                     75,                 1.2038,                0.78968,                 1.2072,                0.96355,                 0.7931,                0.88222,                 0.4671,                  1.657,                 1.0229,                 1.5055,              0.0017109,              0.0017109,              0.0017109
                     76,                 1.1679,                0.75461,                 1.2066,                0.95912,                0.80914,                0.87599,                0.47165,                 1.5001,                0.95125,                 1.4374,               0.001707,               0.001707,               0.001707
                     77,                 1.1301,                0.74639,                 1.1821,                0.89445,                0.73063,                  0.843,                0.43263,                 1.5689,                 1.0613,                 1.4119,               0.001703,               0.001703,               0.001703
                     78,                 1.1515,                0.73472,                 1.1644,                0.79499,                0.80238,                0.79919,                0.39656,                 1.6324,                 1.0248,                 1.4518,               0.001699,               0.001699,               0.001699
                     79,                 1.0802,                 0.7278,                 1.1335,                0.89213,                0.81034,                0.81144,                0.32508,                 1.8758,                 1.1505,                 1.6357,              0.0016951,              0.0016951,              0.0016951
                     80,                 1.0997,                0.73605,                 1.1437,                0.91672,                 0.7931,                0.84808,                0.42583,                  1.612,                 0.9923,                 1.4538,              0.0016911,              0.0016911,              0.0016911
                     81,                 1.1291,                0.73379,                 1.1607,                0.91828,                0.77498,                0.86024,                0.37777,                 1.7127,                 1.0672,                 1.5548,              0.0016872,              0.0016872,              0.0016872
                     82,                 1.0957,                0.71479,                 1.1422,                0.81523,                0.76073,                0.81011,                0.36651,                 1.8267,                 1.0912,                 1.6184,              0.0016832,              0.0016832,              0.0016832
                     83,                 1.1313,                0.73584,                 1.1636,                0.91964,                0.72414,                0.81193,                0.37038,                 1.7886,                 1.1185,                 1.6731,              0.0016792,              0.0016792,              0.0016792
                     84,                 1.1052,                0.68863,                  1.153,                0.93447,                0.73772,                0.82649,                0.36218,                 1.8675,                 1.0651,                 1.6204,              0.0016753,              0.0016753,              0.0016753
                     85,                 1.1403,                0.70363,                 1.1806,                0.93555,                0.81034,                0.87285,                0.42069,                 1.7484,                 1.0272,                  1.534,              0.0016713,              0.0016713,              0.0016713
                     86,                 1.1223,                0.71258,                 1.1583,                0.89981,                0.81034,                 0.8686,                0.43391,                 1.6767,                 1.0015,                 1.4742,              0.0016674,              0.0016674,              0.0016674
                     87,                 1.1167,                0.71515,                 1.1754,                0.85014,                0.78251,                0.80807,                0.40623,                   1.78,                 1.0112,                 1.6333,              0.0016634,              0.0016634,              0.0016634
                     88,                 1.1423,                0.73681,                 1.1495,                0.87685,                0.73667,                 0.8101,                0.42966,                 1.6181,                0.93444,                  1.561,              0.0016594,              0.0016594,              0.0016594
                     89,                 1.1502,                0.71471,                 1.1611,                0.85693,                0.72414,                0.82355,                0.39397,                  1.678,                0.98297,                 1.5452,              0.0016555,              0.0016555,              0.0016555
                     90,                 1.1892,                0.77455,                 1.1709,                 0.8694,                0.68869,                0.75423,                0.29619,                  2.025,                  1.088,                 1.8139,              0.0016515,              0.0016515,              0.0016515
                     91,                 1.1091,                 0.7682,                 1.1588,                0.86531,                0.75862,                0.86234,                0.39402,                 1.7308,                 0.9303,                 1.5816,              0.0016476,              0.0016476,              0.0016476
                     92,                 1.1021,                0.72703,                 1.1335,                0.76975,                0.74938,                0.78074,                0.37613,                 1.7617,                 1.0274,                 1.6286,              0.0016436,              0.0016436,              0.0016436
                     93,                 1.0793,                0.71333,                 1.1555,                0.76902,                0.74629,                0.77582,                0.33728,                 1.8893,                 1.2818,                 1.6896,              0.0016396,              0.0016396,              0.0016396
                     94,                 1.1056,                0.70841,                 1.1376,                0.80923,                 0.7069,                0.73176,                0.35864,                 1.9916,                 1.1579,                 1.8192,              0.0016357,              0.0016357,              0.0016357
                     95,                 1.0973,                0.71758,                 1.1431,                0.80744,                0.68966,                0.74526,                0.35792,                  1.812,                 1.2587,                  1.665,              0.0016317,              0.0016317,              0.0016317
                     96,                 1.0666,                0.70798,                 1.1284,                  0.823,                0.75862,                0.80317,                0.34822,                  1.884,                 1.2198,                 1.6888,              0.0016278,              0.0016278,              0.0016278
                     97,                 1.0522,                0.70206,                 1.1299,                0.77873,                0.72822,                0.78972,                0.37095,                 1.7562,                 1.2202,                 1.5063,              0.0016238,              0.0016238,              0.0016238
                     98,                 1.0741,                0.67691,                 1.1282,                0.82663,                0.65769,                0.76901,                0.35525,                 1.7989,                 1.1205,                  1.671,              0.0016198,              0.0016198,              0.0016198
                     99,                 1.0822,                0.69522,                  1.129,                0.80799,                0.77586,                  0.799,                0.38748,                 1.7606,                0.90419,                 1.6875,              0.0016159,              0.0016159,              0.0016159
                    100,                 1.0682,                0.68074,                 1.1263,                0.81292,                0.77586,                0.81767,                0.43476,                 1.7089,                0.90212,                 1.6457,              0.0016119,              0.0016119,              0.0016119
                    101,                 1.0657,                0.68558,                 1.1278,                0.93445,                0.74138,                0.82356,                0.42414,                 1.8108,                0.98725,                 1.6412,               0.001608,               0.001608,               0.001608
                    102,                 1.0991,                0.70183,                 1.1556,                0.89049,                0.70109,                0.75848,                0.39129,                 1.8212,                 1.0729,                 1.6478,               0.001604,               0.001604,               0.001604
                    103,                  1.093,                0.70203,                 1.1537,                0.79644,                0.82759,                0.82568,                0.45689,                 1.6173,                0.91222,                  1.491,                 0.0016,                 0.0016,                 0.0016
                    104,                 1.0427,                0.69345,                  1.116,                0.83701,                 0.7969,                0.83778,                0.34651,                 1.8334,                0.95784,                 1.7411,              0.0015961,              0.0015961,              0.0015961
                    105,                 1.0603,                0.69303,                 1.1394,                0.87562,                0.82759,                0.86681,                0.39618,                 1.6897,                0.87343,                 1.5879,              0.0015921,              0.0015921,              0.0015921
                    106,                 1.0145,                0.64842,                 1.1206,                0.70485,                0.82759,                0.79435,                0.41774,                  1.597,                0.91262,                 1.4674,              0.0015882,              0.0015882,              0.0015882
                    107,                0.99512,                0.64787,                 1.1076,                0.85097,                0.78765,                0.79734,                0.38475,                 1.6406,                 1.0843,                 1.5028,              0.0015842,              0.0015842,              0.0015842
                    108,                 1.0396,                0.67936,                 1.1341,                0.91726,                0.72414,                0.83748,                0.43201,                 1.5203,                0.88677,                 1.4265,              0.0015802,              0.0015802,              0.0015802
                    109,                 1.0249,                 0.6434,                 1.1153,                0.89736,                0.75374,                0.83417,                0.43205,                 1.4884,                0.93386,                 1.4538,              0.0015763,              0.0015763,              0.0015763
                    110,                 0.9978,                 0.6445,                 1.1229,                0.91481,                 0.7931,                0.86917,                0.43347,                 1.5924,                0.90215,                 1.5162,              0.0015723,              0.0015723,              0.0015723
                    111,                 1.0532,                0.68876,                  1.139,                0.88275,                 0.7789,                0.87706,                0.42833,                 1.6712,                0.91328,                 1.5144,              0.0015684,              0.0015684,              0.0015684
                    112,                 1.0238,                0.62688,                 1.1175,                0.83553,                0.87592,                0.86332,                0.46475,                 1.6327,                0.90645,                 1.4622,              0.0015644,              0.0015644,              0.0015644
                    113,                 1.0467,                0.66798,                 1.1349,                0.90732,                0.77586,                0.85426,                0.44697,                 1.6801,                0.90348,                   1.54,              0.0015604,              0.0015604,              0.0015604
                    114,                 1.0272,                0.66547,                 1.0992,                0.87002,                 0.8079,                0.83343,                0.43071,                  1.696,                0.91894,                  1.578,              0.0015565,              0.0015565,              0.0015565
                    115,                 1.0241,                0.67289,                 1.1196,                0.96055,                0.83973,                0.86684,                0.38602,                  1.852,                0.88717,                 1.7035,              0.0015525,              0.0015525,              0.0015525
                    116,                 1.0134,                   0.65,                 1.1222,                0.86715,                0.78781,                0.84209,                0.40366,                 1.7212,                0.96126,                 1.5948,              0.0015486,              0.0015486,              0.0015486
                    117,                 0.9626,                0.64116,                 1.0879,                0.81429,                0.77586,                0.83967,                0.40004,                 1.6968,                 1.0028,                 1.6118,              0.0015446,              0.0015446,              0.0015446
                    118,                 1.0052,                0.64447,                 1.1085,                0.80789,                0.79765,                0.82886,                0.41877,                 1.6639,                0.99464,                 1.5518,              0.0015406,              0.0015406,              0.0015406
                    119,                0.94871,                0.61562,                 1.0767,                0.89677,                0.75862,                0.84785,                0.42255,                  1.578,                0.81773,                 1.4618,              0.0015367,              0.0015367,              0.0015367
                    120,                 1.0416,                0.64705,                 1.1216,                0.88607,                0.80463,                0.86628,                0.45071,                 1.5347,                 0.7995,                 1.4126,              0.0015327,              0.0015327,              0.0015327
                    121,                 1.0044,                0.63249,                 1.0979,                0.91298,                0.82759,                 0.8819,                0.45605,                 1.5211,                0.79545,                 1.4214,              0.0015288,              0.0015288,              0.0015288
                    122,                 1.0021,                0.64566,                 1.0959,                0.78254,                0.82759,                0.86569,                0.43541,                 1.5126,                0.86593,                 1.4306,              0.0015248,              0.0015248,              0.0015248
                    123,                 1.0222,                0.66759,                 1.1076,                0.85306,                0.84483,                0.88043,                0.42559,                 1.5678,                0.84183,                 1.4414,              0.0015208,              0.0015208,              0.0015208
                    124,                  0.972,                0.60743,                 1.0834,                0.92109,                0.80509,                0.85347,                0.41094,                 1.7101,                0.86036,                 1.5463,              0.0015169,              0.0015169,              0.0015169
                    125,                0.96603,                0.62023,                 1.0865,                0.88818,                0.84483,                0.86617,                0.40412,                 1.7711,                0.93579,                  1.598,              0.0015129,              0.0015129,              0.0015129
                    126,                 0.9803,                0.63865,                 1.1006,                 0.8392,                0.82759,                0.85657,                0.43388,                  1.685,                0.96963,                 1.5269,               0.001509,               0.001509,               0.001509
